nevra	requires	provides	conflicts	obsoletes	files
dnfast-app-1.0-1.noarch	dnfast-dep >= 1.0|rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-app = 1.0-1|			/usr/share/dnfast/app
dnfast-arch-1.0-1.aarch64	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-arch = 1.0-1|dnfast-arch(aarch-64) = 1.0-1|			/usr/share/dnfast/arch
dnfast-arch-switch-2.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-arch-switch = 2.0-1|			/usr/share/dnfast/arch-switch
dnfast-config-1.0-1.noarch	config(dnfast-config) = 1.0-1|rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	config(dnfast-config) = 1.0-1|dnfast-config = 1.0-1|			/etc/dnfast/fixture.conf
dnfast-conflict-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-conflict = 1.0-1|	dnfast-dep|		/usr/share/dnfast/conflict
dnfast-cost-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-cost = 1.0-1|dnfast-tie = 1.0|			/usr/share/dnfast/cost
dnfast-dep-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-capability = 1.0|dnfast-dep = 1.0-1|			/usr/share/dnfast/dep
dnfast-file-collision-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-file-collision = 1.0-1|			/usr/share/dnfast/provided
dnfast-file-provider-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-file-provider = 1.0-1|			/usr/share/dnfast/provided
dnfast-installonly-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-installonly = 1.0-1|installonlypkg(kernel)  |			/usr/share/dnfast/installonly
dnfast-noarch-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-noarch = 1.0-1|			/usr/share/dnfast/noarch
dnfast-obsoletes-2.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-dep = 2.0|dnfast-obsoletes = 2.0-1|		dnfast-dep|	/usr/share/dnfast/obsoletes
dnfast-post-failure-1.0-1.noarch	/bin/sh  |rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-post-failure = 1.0-1|			/usr/share/dnfast/post-failure
dnfast-pre-failure-1.0-1.noarch	/bin/sh  |rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-pre-failure = 1.0-1|			/usr/share/dnfast/pre-failure
dnfast-priority-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-priority = 1.0-1|dnfast-tie = 1.0|			/usr/share/dnfast/priority
dnfast-protected-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-protected = 1.0-1|			/usr/share/dnfast/protected
dnfast-rich-1.0-1.noarch	(dnfast-capability >= 1.0 if dnfast-dep)  |rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|rpmlib(RichDependencies) <= 4.12.0-1|	dnfast-rich = 1.0-1|			/usr/share/dnfast/rich
dnfast-trigger-failure-1.0-1.noarch	/bin/sh  |rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-trigger-failure = 1.0-1|			/usr/share/dnfast/trigger-failure
dnfast-unsatisfied-1.0-1.noarch	dnfast-never-provided >= 9|rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-unsatisfied = 1.0-1|			/usr/share/dnfast/unsatisfied
dnfast-upgrade-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-upgrade = 1.0-1|			/usr/share/dnfast/upgrade
dnfast-upgrade-2.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-upgrade = 2.0-1|			/usr/share/dnfast/upgrade
dnfast-vendor-switch-2.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-vendor-switch = 2.0-1|			/usr/share/dnfast/vendor-switch
dnfast-weak-app-1.0-1.noarch	rpmlib(CompressedFileNames) <= 3.0.4-1|rpmlib(FileDigests) <= 4.6.0-1|rpmlib(PayloadFilesHavePrefix) <= 4.0-1|rpmlib(PayloadIsZstd) <= 5.4.18-1|	dnfast-weak-app = 1.0-1|			/usr/share/dnfast/weak
