label	kind	fingerprint
allowed	primary	4A5B3FC5FEE74813BED052EF5DEDF76657B99D86
allowed	subkey	F2FC2485716E0C35F26AF05CD9DC63DE69401BA7
alternate	primary	65B4DB80831AF8C753D2A9156ECC5465E88D2A8B
alternate	subkey	103D6BD7D8FEED52972B926F323CDDDF719BA78C
expired-primary	primary	AF027CAD28781DFBF425C766194198E77054BCBC
expired-primary	subkey	17F02700FEC94E1051D074F9C88312303097E739
expired-subkey	primary	10B69AD183C6C73271BDF5F17D556F510951CA0F
expired-subkey	subkey	F73FB2233C74513BC77BC0AA6C02BBEDE2833366
revoked-primary	primary	3780F2DB21BD47B021D67F7D3F2F8F81F07BD307
revoked-primary	subkey	D41978E1D2D20191CB4C41B99341D2E4CA43124A
revoked-subkey	primary	71BE22BDD7AB14035CE945DBD78C0A21E8BF99C3
revoked-subkey	subkey	B331B310315F527DC9770191A8C08AE4A4D1A209
