repo_id	nevra
main	dnfast-app-1.0-1.noarch
	dnfast-app = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/app
	/usr/share/dnfast/app=|
main	dnfast-arch-1.0-1.aarch64
	dnfast-arch = 1.0-1|dnfast-arch(aarch-64) = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/arch
	/usr/share/dnfast/arch=|
main	dnfast-arch-switch-1.0-1.aarch64
	dnfast-arch-switch = 1.0-1|dnfast-arch-switch(aarch-64) = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/arch-switch
	/usr/share/dnfast/arch-switch=|
main	dnfast-arch-switch-2.0-1.noarch
	dnfast-arch-switch = 2.0-1
	
	
	
	
	
	
	/usr/share/dnfast/arch-switch
	/usr/share/dnfast/arch-switch=|
main	dnfast-config-1.0-1.noarch
	config(dnfast-config) = 1.0-1|dnfast-config = 1.0-1
	
	
	
	
	
	
	/etc/dnfast/fixture.conf
	/etc/dnfast/fixture.conf=cn|
main	dnfast-conflict-1.0-1.noarch
	dnfast-conflict = 1.0-1
	
	
	
	
	dnfast-dep
	
	/usr/share/dnfast/conflict
	/usr/share/dnfast/conflict=|
main	dnfast-cost-1.0-1.noarch
	dnfast-cost = 1.0-1|dnfast-tie = 1.0
	
	
	
	
	
	
	/usr/share/dnfast/cost
	/usr/share/dnfast/cost=|
main	dnfast-dep-1.0-1.noarch
	dnfast-capability = 1.0|dnfast-dep = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/dep
	/usr/share/dnfast/dep=|
main	dnfast-file-collision-1.0-1.noarch
	dnfast-file-collision = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/provided
	/usr/share/dnfast/provided=|
main	dnfast-file-provider-1.0-1.noarch
	dnfast-file-provider = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/provided
	/usr/share/dnfast/provided=|
main	dnfast-installonly-1.0-1.noarch
	dnfast-installonly = 1.0-1|installonlypkg(kernel)
	
	
	
	
	
	
	/usr/share/dnfast/installonly
	/usr/share/dnfast/installonly=|
main	dnfast-noarch-1.0-1.noarch
	dnfast-noarch = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/noarch
	/usr/share/dnfast/noarch=|
main	dnfast-obsoletes-2.0-1.noarch
	dnfast-dep = 2.0|dnfast-obsoletes = 2.0-1
	
	
	
	
	
	dnfast-dep < 2.0
	/usr/share/dnfast/obsoletes
	/usr/share/dnfast/obsoletes=|
main	dnfast-post-failure-1.0-1.noarch
	dnfast-post-failure = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/post-failure
	/usr/share/dnfast/post-failure=|
main	dnfast-pre-failure-1.0-1.noarch
	dnfast-pre-failure = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/pre-failure
	/usr/share/dnfast/pre-failure=|
main	dnfast-priority-1.0-1.noarch
	dnfast-priority = 1.0-1|dnfast-tie = 1.0
	
	
	
	
	
	
	/usr/share/dnfast/priority
	/usr/share/dnfast/priority=|
main	dnfast-protected-1.0-1.noarch
	dnfast-protected = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/protected
	/usr/share/dnfast/protected=|
main	dnfast-rich-1.0-1.noarch
	dnfast-rich = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/rich
	/usr/share/dnfast/rich=|
main	dnfast-trigger-failure-1.0-1.noarch
	dnfast-trigger-failure = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/trigger-failure
	/usr/share/dnfast/trigger-failure=|
main	dnfast-unsatisfied-1.0-1.noarch
	dnfast-unsatisfied = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/unsatisfied
	/usr/share/dnfast/unsatisfied=|
main	dnfast-upgrade-1.0-1.noarch
	dnfast-upgrade = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/upgrade
	/usr/share/dnfast/upgrade=|
main	dnfast-upgrade-2.0-1.noarch
	dnfast-upgrade = 2.0-1
	
	
	
	
	
	
	/usr/share/dnfast/upgrade
	/usr/share/dnfast/upgrade=|
main	dnfast-vendor-switch-1.0-1.noarch
	dnfast-vendor-switch = 1.0-1
	
	
	
	
	
	
	/usr/share/dnfast/vendor-switch
	/usr/share/dnfast/vendor-switch=|
main	dnfast-vendor-switch-2.0-1.noarch
	dnfast-vendor-switch = 2.0-1
	
	
	
	
	
	
	/usr/share/dnfast/vendor-switch
	/usr/share/dnfast/vendor-switch=|
main	dnfast-weak-app-1.0-1.noarch
	dnfast-weak-app = 1.0-1
	dnfast-dep
	dnfast-file-provider
	
	
	
	
	/usr/share/dnfast/weak
	/usr/share/dnfast/weak=|
priority-high	dnfast-priority-1.0-1.noarch
	dnfast-priority = 1.0-1|dnfast-tie = 1.0
	
	
	
	
	
	
	/usr/share/dnfast/priority
	/usr/share/dnfast/priority=|
priority-low	dnfast-priority-1.0-1.noarch
	dnfast-priority = 1.0-1|dnfast-tie = 1.0
	
	
	
	
	
	
	/usr/share/dnfast/priority
	/usr/share/dnfast/priority=|
cost-low	dnfast-cost-1.0-1.noarch
	dnfast-cost = 1.0-1|dnfast-tie = 1.0
	
	
	
	
	
	
	/usr/share/dnfast/cost
	/usr/share/dnfast/cost=|
cost-high	dnfast-cost-1.0-1.noarch
	dnfast-cost = 1.0-1|dnfast-tie = 1.0
	
	
	
	
	
	
	/usr/share/dnfast/cost
	/usr/share/dnfast/cost=|
